Date,USD_INR,USD_NPR
2023-07-12,82.39990234375,131.83984375
2023-07-13,82.00180053710938,131.202880859375
2023-07-14,82.03079986572266,131.24927978515626
2023-07-17,82.07679748535156,131.3228759765625
2023-07-18,82.06159973144531,131.2985595703125
2023-07-19,82.07540130615234,131.32064208984374
2023-07-20,82.06169891357422,131.29871826171876
2023-07-21,82.0823974609375,131.33183593750002
2023-07-24,81.99030303955078,131.18448486328126
2023-07-25,81.81420135498047,130.90272216796876
2023-07-26,81.95010375976562,131.12016601562502
2023-07-27,81.97550201416016,131.16080322265626
2023-07-28,82.3749008178711,131.79984130859376
2023-07-31,82.25279998779297,131.60447998046877
2023-08-01,82.2332992553711,131.57327880859376
2023-08-02,82.30729675292969,131.6916748046875
2023-08-03,82.7332992553711,132.37327880859377
2023-08-04,82.7843017578125,132.45488281250002
2023-08-07,82.69529724121094,132.3124755859375
2023-08-08,82.74829864501953,132.39727783203125
2023-08-09,82.84500122070312,132.552001953125
2023-08-10,82.86630249023438,132.586083984375
2023-08-11,82.79989624023438,132.479833984375
2023-08-14,82.89730072021484,132.63568115234375
2023-08-15,83.2333984375,133.1734375
2023-08-16,83.19419860839844,133.1107177734375
2023-08-17,83.23699951171875,133.17919921875
2023-08-18,83.09829711914062,132.957275390625
2023-08-21,83.16729736328125,133.06767578125002
2023-08-22,83.1135025024414,132.98160400390626
2023-08-23,83.07330322265625,132.91728515625002
2023-08-24,82.5447006225586,132.07152099609377
2023-08-25,82.64140319824219,132.22624511718752
2023-08-28,82.66429901123047,132.26287841796875
2023-08-29,82.69149780273438,132.306396484375
2023-08-30,82.49469757080078,131.99151611328125
2023-08-31,82.70040130615234,132.32064208984374
2023-09-01,82.68240356445312,132.291845703125
2023-09-04,82.6969985961914,132.31519775390626
2023-09-05,82.7345962524414,132.37535400390627
2023-09-06,83.08609771728516,132.93775634765626
2023-09-07,83.25740051269531,133.21184082031252
2023-09-08,83.24150085449219,133.1864013671875
2023-09-11,83.03130340576172,132.85008544921877
2023-09-12,82.94329833984375,132.70927734375002
2023-09-13,82.84300231933594,132.5488037109375
2023-09-14,82.93679809570312,132.698876953125
2023-09-15,83.0282974243164,132.84527587890625
2023-09-18,83.08580017089844,132.9372802734375
2023-09-19,83.25489807128906,133.2078369140625
2023-09-20,83.19499969482422,133.11199951171875
2023-09-21,83.08699798583984,132.93919677734377
2023-09-22,82.89129638671875,132.62607421875
2023-09-25,82.97480010986328,132.75968017578126
2023-09-26,83.0282974243164,132.84527587890625
2023-09-27,83.29869842529297,133.27791748046874
2023-09-28,83.22270202636719,133.1563232421875
2023-09-29,83.19300079345703,133.10880126953126
2023-10-02,83.03479766845703,132.85567626953124
2023-10-03,83.3593978881836,133.37503662109376
2023-10-04,83.22979736328125,133.16767578125
2023-10-05,83.44979858398438,133.519677734375
2023-10-06,83.22489929199219,133.15983886718752
2023-10-09,83.12460327148438,132.999365234375
2023-10-10,83.27030181884766,133.23248291015625
2023-10-11,83.25029754638672,133.20047607421876
2023-10-12,83.21800231933594,133.1488037109375
2023-10-13,83.26239776611328,133.21983642578127
2023-10-16,83.28230285644531,133.2516845703125
2023-10-17,83.19950103759766,133.11920166015625
2023-10-18,83.26429748535156,133.2228759765625
2023-10-19,83.26860046386719,133.2297607421875
2023-10-20,83.12229919433594,132.9956787109375
2023-10-23,83.15979766845703,133.05567626953126
2023-10-24,83.02940368652344,132.8470458984375
2023-10-25,82.98780059814453,132.78048095703124
