date_ad,index_value,absolute_change,percentage_change,calendar_gap_days,is_long_gap,log_return,log_return_pct,rv_30d_annualized_pct
2021-01-31,2370.55,-54.75,-2.26,3.0,False,-0.022833232343946984,-2.2833232343946985,28.652497568014585
2021-02-01,2408.24,37.7,1.59,1.0,False,0.015774194520069288,1.577419452006929,23.783294281076703
2021-02-02,2473.74,65.49,2.72,1.0,False,0.026834985226629606,2.6834985226629606,24.342727618882986
2021-02-03,2466.92,-6.81,-0.28,1.0,False,-0.002760766509632388,-0.2760766509632388,21.386112015057396
2021-02-04,2475.27,8.34,0.34,1.0,False,0.003379072008608445,0.3379072008608445,21.386430301184056
2021-02-07,2524.0,48.74,1.97,3.0,False,0.019495463699202707,1.9495463699202706,20.8165886737458
2021-02-08,2561.48,37.48,1.48,1.0,False,0.01474027176262722,1.474027176262722,19.28535564351914
2021-02-09,2534.37,-27.11,-1.06,1.0,False,-0.010640130994895754,-1.0640130994895753,20.024853984549278
2021-02-10,2543.03,8.66,0.34,1.0,False,0.0034111980137503974,0.3411198013750397,20.0120336883783
2021-02-11,2526.92,-16.11,-0.63,1.0,False,-0.006355113648119366,-0.6355113648119366,19.798439287322573
2021-02-14,2493.59,-33.33,-1.32,3.0,False,-0.01327773061566176,-1.3277730615661758,20.55570340105816
2021-02-15,2586.01,92.42,3.71,1.0,False,0.03639270812154624,3.6392708121546242,19.85143527528394
2021-02-16,2601.51,15.5,0.6,1.0,False,0.00597589835881022,0.597589835881022,19.679676520301232
2021-02-17,2611.45,9.94,0.38,1.0,False,0.003813576949277986,0.3813576949277986,19.557575394496702
2021-02-18,2636.68,25.23,0.97,1.0,False,0.009614927362377406,0.9614927362377407,19.581766867949842
2021-02-21,2640.35,3.66,0.14,3.0,False,0.0013909341397320394,0.13909341397320393,19.632085602470383
2021-02-22,2607.67,-32.67,-1.24,1.0,False,-0.01245438181240546,-1.245438181240546,19.981835837369065
2021-02-23,2586.51,-21.16,-0.81,1.0,False,-0.008147625633552858,-0.8147625633552859,20.32889982922735
2021-02-24,2599.56,13.04,0.5,1.0,False,0.005032723254610199,0.5032723254610199,20.195855894886556
2021-02-25,2554.14,-44.94,-1.73,1.0,False,-0.017626627854115118,-1.7626627854115118,21.153721621899425
2021-02-28,2474.39,-79.74,-3.12,3.0,False,-0.031721671086161626,-3.1721671086161627,23.329420291656888
2021-03-01,2515.03,40.64,1.64,1.0,False,0.01629083091319636,1.6290830913196361,23.640316491987694
2021-03-02,2455.33,-59.7,-2.37,1.0,False,-0.02402356014506266,-2.402356014506266,24.832665348610565
2021-03-03,2416.01,-39.23,-1.6,1.0,False,-0.016143752628069875,-1.6143752628069874,25.316183431845413
2021-03-04,2506.68,90.67,3.75,1.0,False,0.036841749291577804,3.6841749291577806,27.152409862055404
2021-03-07,2485.1,-21.58,-0.86,3.0,False,-0.008646268240809475,-0.8646268240809475,26.691893183662174
2021-03-09,2461.88,-23.22,-0.93,2.0,False,-0.009387614474319945,-0.9387614474319945,26.793108146922645
2021-03-10,2458.49,-3.4,-0.14,1.0,False,-0.0013779453725603873,-0.13779453725603874,26.701855158260763
2021-03-14,2407.26,-51.23,-2.08,4.0,False,-0.0210581690933412,-2.10581690933412,27.31984870274054
2021-03-15,2389.19,-18.07,-0.75,1.0,False,-0.007534774881565661,-0.7534774881565661,27.335440707898645
2021-03-16,2391.75,2.56,0.11,1.0,False,0.0010709192103081488,0.10709192103081487,26.503661726490552
2021-03-17,2432.15,40.4,1.69,1.0,False,0.016750324257372915,1.6750324257372915,26.554656523348946
2021-03-18,2475.09,42.95,1.77,1.0,False,0.017501119162363597,1.7501119162363596,25.874146799812458
2021-03-21,2538.47,63.38,2.56,3.0,False,0.025284778336844903,2.5284778336844904,26.870000649714804
2021-03-22,2514.39,-24.08,-0.95,1.0,False,-0.009531307931359487,-0.9531307931359487,27.02877172743556
2021-03-23,2528.96,14.57,0.58,1.0,False,0.005777921633111647,0.5777921633111648,26.478850117748355
2021-03-24,2570.26,41.3,1.63,1.0,False,0.016198910070762525,1.6198910070762524,26.55236924788969
2021-03-25,2548.97,-21.29,-0.83,1.0,False,-0.008317705101819048,-0.8317705101819048,26.479062594288227
2021-03-29,2543.52,-5.45,-0.21,4.0,False,-0.0021404075729922227,-0.21404075729922226,26.469287409819444
2021-03-30,2575.67,32.15,1.26,1.0,False,0.012560746015398526,1.2560746015398525,26.641433698940435
2021-03-31,2619.03,43.36,1.68,1.0,False,0.016694325767869448,1.669432576786945,26.69727560173828
2021-04-01,2631.9,12.88,0.49,1.0,False,0.004901998606618417,0.49019986066184174,24.61352457793599
